                Adj      SubjDiff preferenceDiff frequencyDiff
810       sensitive -7.851424e-02    0.357886331    1.78019865
478       invisible -7.841330e-02    1.650517938    1.21639532
890          strong -7.831380e-02    0.187759635    1.07268860
956        tropical -7.821513e-02    0.279353648    1.82123529
551         martial -7.771526e-02   -1.994700313    0.69314718
1042       wretched -7.708067e-02   -0.020803128    0.09097178
60      astonishing -7.699864e-02    0.310154928    1.28519824
641           outer -7.615320e-02   -0.468378934    2.04065552
658       patriotic -7.568317e-02   -1.073078987    0.83034830
357        generous -7.554602e-02    0.826801840    0.24740817
612           noble -7.513980e-02   -1.376319216   -0.95200881
759       remaining -7.511231e-02    1.824066317    0.79580133
318        feminine -7.504705e-02    1.767494847    0.68221811
156        constant -7.278645e-02    0.547345695    1.48947860
917      suspicious -7.270944e-02    1.327453861    0.78275934
213             dim -7.192249e-02    0.290409804    0.59713253
242           early -7.180101e-02   -0.503546983    1.57090987
555        maternal -7.177458e-02    0.438913042    1.02961942
680          poetic -7.177206e-02    1.269023489    0.06155789
517         limited -7.135030e-02    0.928788375    2.15015707
78          beloved -7.120648e-02    0.904218151    0.60858979
427       identical -7.095991e-02   -0.194156014    2.04022083
331         foolish -7.013803e-02    0.002995509    0.16705408
909        superior -6.967939e-02    0.719444133    0.27029033
89           bodily -6.951625e-02    0.073203404   -0.07320340
165         corrupt -6.933557e-02    0.367724780    0.98581679
927        temporal -6.846966e-02   -2.607615804    0.41871033
826          shrill -6.802398e-02    0.499775788    0.61618614
11     accomplished -6.775779e-02   -0.040821995   -0.22314355
164         correct -6.705249e-02    0.049574786    0.46430561
123        childish -6.665088e-02    0.524524468    0.41985385
266    enthusiastic -6.616463e-02    1.137833002    0.51082562
523            live -6.523834e-02   -0.509454822    1.33417836
279       excellent -6.518516e-02    0.786115047    0.17859021
922      systematic -6.496708e-02    1.780330773    1.17865500
646            pale -6.490013e-02    0.279602972    1.08604567
977       unnatural -6.488332e-02    1.609437912    0.48954823
619         obscure -6.483413e-02    2.484906650    1.66350513
282       exclusive -6.454759e-02    0.152874355    0.98394938
741           rapid -6.446958e-02    1.149084539    1.72066355
322           final -6.445624e-02    2.254575874    2.95099638
289        external -6.408606e-02    0.844917125    0.55727112
76           barren -6.402622e-02    0.852654060    0.24116206
804         secular -6.373592e-02    0.651159485    2.21297293
130           clear -6.352723e-02   -0.298431885    0.22541887
