workerid	predicate1	response	slide_number
0	therv	0.29	4
0	snurts	0.76	5
0	squalf	0.83	6
0	milbedy	0.18	7
0	muicy	0.5	8
0	phoys	0.08	9
0	olm	0.81	10
0	slalpsy	0.28	11
0	jaund	0.82	12
0	fonns	0.25	13
0	irv	0.14	14
0	spyck	0.13	15
0	duilts	0.26	16
0	grirpedy	0.2	17
0	broff	0.71	18
0	bamn	0.45	19
0	spunes	0.67	20
0	lanny	0.69	21
0	crooch	0.78	22
0	clouy	0.17	23
0	niege	0.78	24
0	brirky	0.17	25
0	trunce	0.78	26
0	lised	0.73	27
0	thomps	0.79	28
0	heanedy	0.19	29
0	twad	0.73	30
0	bramey	0.71	31
0	gelt	0.75	32
0	yunt	0.17	33
1	trafesy	0.02	4
1	jaundy	0.09	5
1	spraived	0.07	6
1	hafs	0.07	7
1	milbedy	0.09	8
1	fruith	0.87	9
1	muic	0.87	10
1	niegey	0.72	11
1	scrib	0.57	12
1	snurts	0.14	13
1	glaby	0.9	14
1	ghoicey	0.06	15
1	fict	0.91	16
1	dwake	0.89	17
1	rhouldy	0.84	18
1	fonns	0.08	19
1	broffy	0.09	20
1	therv	0.07	21
1	brirk	0.89	22
1	spunesy	0.82	23
1	joids	0.06	24
1	toch	0.83	25
1	yunt	0.15	26
1	twawlsy	0.08	27
1	yafs	0.07	28
1	plachy	0.9	29
1	blef	0.8	30
1	duilts	0.13	31
1	irv	0.08	32
1	twady	0.05	33
2	ceched	0	4
2	physsy	0.37	5
2	yunt	0.75	6
2	jaundy	0.99	7
2	spunesy	0.62	8
2	thervy	0.24	9
2	heanedy	0.26	10
2	scriby	0.67	11
2	twell	1	12
2	praife	0.55	13
2	milbedy	0.89	14
2	muicy	0.28	15
2	trafes	0.3	16
2	trunce	1	17
2	squalfy	0.62	18
2	slalps	0	19
2	olm	0.6	20
2	blefy	0	21
2	preathey	0.77	22
2	fonns	0.26	23
2	gelt	1	24
2	fruithy	0.69	25
2	phoys	0.54	26
2	irv	0.17	27
2	clouy	0.58	28
2	broffy	0	29
2	bamny	0	30
2	plachy	0.78	31
2	kolch	0.87	32
2	gwigs	0.25	33
3	irv	0.38	4
3	bamn	0.71	5
3	jitey	0.55	6
3	slalps	0.5	7
3	thervy	0.63	8
3	lanny	0.56	9
3	preathe	0.56	10
3	lised	0.61	11
3	twawlsy	0.31	12
3	yafsy	0.25	13
3	duilts	0.42	14
3	twad	0.32	15
3	dwakey	0.28	16
3	blef	0.5	17
3	grirpedy	0.47	18
3	hafsy	0.55	19
3	broffy	0.63	20
3	heanedy	0.54	21
3	gwigsy	0.2	22
3	truncey	0.57	23
3	jaund	0.44	24
3	spraived	0.49	25
3	rhouldy	0.58	26
3	niege	0.42	27
3	phoysy	0.36	28
3	plachy	0.15	29
3	twelly	0.37	30
3	snurts	0.53	31
3	juints	0.59	32
3	toch	0.25	33
4	clou	0.74	4
