workerid	predicate2	predicate1	response	slide_number
0	lann	red	0.84	4
0	muic	lann	0	5
0	big	muic	0	6
0	big	lann	0	7
0	small	lann	0.03	8
0	lann	green	1	9
0	lann	muic	1	10
0	small	muic	0	11
0	muic	green	1	12
0	muic	red	1	13
1	cref	small	0.94	4
1	cref	big	0.97	5
1	cref	red	0.98	6
1	red	muic	0.05	7
1	green	muic	0.01	8
1	cref	green	0.97	9
1	muic	big	0.91	10
1	muic	small	0.92	11
1	muic	cref	0.01	12
1	cref	muic	0.02	13
2	twell	muic	0.74	4
2	blue	twell	0.22	5
2	muic	blue	0.82	6
2	red	muic	0.05	7
2	muic	big	1	8
2	small	twell	0	9
2	muic	twell	0.9	10
2	muic	small	1	11
2	red	twell	0	12
2	big	twell	0	13
3	lann	small	0.86	4
3	blue	muic	0	5
3	green	lann	0.18	6
3	green	muic	0	7
3	big	lann	0	8
3	muic	lann	0.47	9
3	big	muic	0	10
3	muic	small	0.8	11
3	blue	lann	0.19	12
3	muic	lann	0.64	13
4	red	muic	0.12	4
4	muic	small	0.89	5
4	cref	big	0.83	6
4	blue	muic	0.1	7
4	cref	red	0.88	8
4	big	muic	0.12	9
4	muic	cref	0.89	10
4	blue	cref	0.11	11
4	muic	cref	0.9	12
4	small	cref	0.12	13
5	red	lann	0	4
5	cref	lann	0	5
5	lann	small	1	6
5	big	lann	0	7
5	cref	big	1	8
5	small	cref	0	9
5	cref	blue	1	10
5	lann	cref	1	11
5	lann	blue	1	12
5	red	cref	0	13
6	muic	cref	0.04	4
6	muic	small	0.99	5
6	cref	small	0.98	6
6	muic	big	0.99	7
6	cref	red	0.97	8
6	big	cref	0.04	9
6	muic	red	0.98	10
6	muic	blue	0.98	11
6	cref	blue	0.97	12
6	cref	muic	0.02	13
7	cref	olm	0.02	4
7	olm	green	0.93	5
7	cref	green	0.93	6
7	blue	cref	0.08	7
7	small	cref	0.02	8
7	olm	blue	0.93	9
7	big	olm	0.04	10
7	olm	small	0.95	11
7	cref	olm	0.93	12
7	big	cref	0.04	13
8	small	muic	0	4
8	lann	green	1	5
8	red	muic	0	6
8	lann	muic	0	7
8	green	muic	0	8
8	small	lann	0	9
8	lann	red	1	10
8	muic	big	1	11
8	big	lann	0	12
8	lann	muic	0	13
