workerid	predicate2	predicate1	response	slide_number
0	small	olm	0	4
0	big	olm	0.02	5
0	twell	green	0.02	6
0	twell	olm	0.01	7
0	olm	green	0.97	8
0	twell	big	0.01	9
0	blue	twell	0.94	10
0	twell	olm	0.02	11
0	blue	olm	0	12
0	small	twell	0.97	13
1	twell	big	0.07	4
1	twell	small	0.08	5
1	twell	blue	0.82	6
1	olm	twell	0.87	7
1	olm	twell	0.81	8
1	olm	red	0.11	9
1	red	twell	0.18	10
1	small	olm	0.17	11
1	olm	big	0.16	12
1	olm	blue	0.23	13
2	green	twell	1	4
2	muic	big	1	5
2	twell	big	1	6
2	red	twell	0	7
2	twell	small	1	8
2	red	muic	0	9
2	twell	muic	0	10
2	small	muic	0	11
2	muic	twell	0	12
2	muic	green	1	13
3	twell	big	1	4
3	green	twell	0	5
3	blue	cref	0	6
3	twell	cref	0	7
3	blue	twell	0	8
3	small	twell	0	9
3	small	cref	0	10
3	big	cref	0.01	11
3	green	cref	0.04	12
3	cref	twell	1	13
4	olm	blue	0.96	4
4	cref	small	1	5
4	cref	blue	1	6
4	olm	green	1	7
4	small	olm	0.04	8
4	cref	green	1	9
4	cref	olm	0.01	10
4	cref	olm	0.02	11
4	big	cref	0.02	12
4	olm	big	0.99	13
5	muic	twell	0.1	4
5	muic	small	0.05	5
5	twell	blue	0.89	6
5	green	muic	0.03	7
5	twell	small	0.91	8
5	big	muic	0.11	9
5	blue	muic	0.03	10
5	twell	big	0.94	11
5	muic	twell	0.97	12
5	twell	green	0.02	13
6	twell	big	1	4
6	muic	twell	0.03	5
6	small	twell	0	6
6	twell	muic	1	7
6	big	muic	0	8
6	red	muic	1	9
6	twell	blue	0	10
6	muic	small	1	11
6	blue	muic	0.97	12
6	twell	red	0	13
7	blue	muic	0.12	4
7	red	muic	0.13	5
7	lann	red	0.86	6
7	blue	lann	0.09	7
7	muic	lann	0.83	8
7	big	muic	0.86	9
7	big	lann	0.83	10
7	small	lann	0.9	11
7	muic	small	0.21	12
7	lann	muic	0.77	13
8	cref	big	0.97	4
8	red	lann	0.04	5
8	cref	lann	0.87	6
8	lann	cref	0.13	7
8	green	cref	0.2	8
8	cref	small	0.98	9
8	big	lann	0.03	10
8	red	cref	0.02	11
8	small	lann	0.01	12
8	green	lann	0.99	13
