workerid	predicate2	predicate1	response	slide_number
0	red	scrib	0	4
0	big	blue	0	5
0	kolch	big	1	6
0	blue	kolch	0.06	7
0	blue	big	1	8
0	big	scrib	0	9
0	green	kolch	0.07	10
0	green	big	1	11
0	blue	scrib	0.09	12
0	kolch	scrib	0.48	13
0	scrib	small	1	14
0	kolch	small	1	15
0	red	kolch	0.08	16
0	scrib	green	1	17
1	small	green	0.53	4
1	plach	small	0.48	5
1	green	glab	0.47	6
1	glab	small	0.64	7
1	glab	plach	0.51	8
1	blue	plach	0.51	9
1	blue	glab	0.67	10
1	glab	red	0.52	11
1	red	plach	0.53	12
1	plach	big	0.54	13
1	green	plach	0.52	14
1	green	big	0.72	15
1	small	blue	0.41	16
1	glab	big	0.66	17
2	green	broff	0.23	4
2	red	big	0.71	5
2	small	green	0.17	6
2	scrib	red	0.75	7
2	small	scrib	0.21	8
2	broff	small	0.73	9
2	red	broff	0.3	10
2	broff	scrib	0.79	11
2	blue	scrib	0.78	12
2	green	scrib	0.6	13
2	scrib	big	0.71	14
2	green	small	0.24	15
2	broff	big	0.22	16
2	blue	broff	0.34	17
3	green	plach	0.84	4
3	plach	big	0.89	5
3	plach	blue	0.9	6
3	big	physs	0.05	7
3	plach	small	0.92	8
3	red	physs	0	9
3	physs	plach	0	10
3	green	small	0.95	11
3	red	big	0.96	12
3	green	physs	0.02	13
3	big	red	0.11	14
3	blue	physs	0.11	15
3	plach	red	0.95	16
3	small	physs	0.08	17
4	red	small	0.97	4
4	muic	green	0.97	5
4	small	green	0.03	6
4	muic	blue	0.97	7
4	blue	broff	0.04	8
4	big	muic	0.01	9
4	green	big	0.97	10
4	muic	red	1	11
4	broff	big	0.98	12
4	muic	small	1	13
4	red	broff	0.02	14
4	muic	broff	0.01	15
4	broff	green	0.98	16
4	broff	small	0.99	17
5	glab	plach	0.87	4
5	plach	green	0	5
5	big	plach	0.94	6
5	green	glab	0.85	7
5	blue	glab	0.06	8
5	red	big	0.13	9
5	red	plach	0.12	10
5	plach	small	0.8	11
5	blue	small	0.82	12
5	big	glab	0.11	13
5	green	big	0.75	14
5	blue	plach	0.19	15
5	red	glab	0.38	16
5	small	glab	0.49	17
6	glab	big	1	4
6	scrib	red	0.94	5
6	blue	glab	0.12	6
6	red	big	0.96	7
6	small	scrib	0.14	8
6	green	scrib	0.11	9
6	scrib	blue	0.06	10
6	scrib	glab	0.12	11
6	green	glab	0.09	12
6	red	glab	0.1	13
6	scrib	big	0.91	14
6	glab	small	0.82	15
6	big	blue	0.83	16
6	small	green	0.23	17
7	yunt	broff	0.03	4
7	broff	blue	0.95	5
7	big	yunt	0.04	6
7	yunt	small	0.98	7
7	small	green	0	8
7	red	small	0.97	9
7	red	yunt	0	10
7	big	red	0.01	11
7	green	broff	0.03	12
7	broff	big	0.96	13
7	broff	small	0.98	14
7	blue	yunt	0.05	15
7	green	yunt	0.01	16
7	red	broff	0.01	17
8	green	muic	0.97	4
8	muic	red	0.98	5
8	small	muic	0.02	6
8	small	green	0.04	7
8	red	small	0.97	8
8	red	glab	0.99	9
8	glab	green	0.06	10
8	big	glab	0.02	11
8	small	red	0.03	12
8	blue	glab	0.61	13
8	blue	muic	0.05	14
8	muic	big	0.52	15
8	glab	small	0.45	16
8	muic	glab	0.5	17
