workerid	noun	distractorValues	item	slide_number	imgs	predicate2	predicate1	response	condition
0	cup	[u'blue', u'metal', u'red', u'wooden']	[u'green', u'glass']	3	[[u'green_wooden_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_glass_cup.png', u'target'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'red_wooden_cup.png', u'other']]	green	glass	0	second_informative
0	cup	[u'green', u'wooden', u'blue', u'plastic']	[u'red', u'metal']	4	[[u'red_metal_cup.png', u'target'], [u'blue_plastic_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'red_wooden_cup.png', u'other']]	red	metal	0	filler
0	ball	[u'green', u'solid', u'red', u'spotted']	[u'blue', u'checkered']	5	[[u'red_spotted_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'blue_solid_ball.png', u'other'], [u'green_checkered_ball.png', u'other'], [u'green_checkered_ball.png', u'other'], [u'blue_solid_ball.png', u'other'], [u'blue_solid_ball.png', u'other'], [u'blue_checkered_ball.png', u'target'], [u'red_checkered_ball.png', u'other'], [u'green_spotted_ball.png', u'other']]	blue	checkered	0	filler
0	cup	[u'green', u'metal', u'red', u'plastic']	[u'blue', u'wooden']	6	[[u'red_wooden_cup.png', u'other'], [u'blue_wooden_cup.png', u'target'], [u'green_wooden_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'red_plastic_cup.png', u'other']]	wooden	blue	1	first_informative
0	cup	[u'green', u'wooden', u'red', u'metal']	[u'blue', u'glass']	7	[[u'green_glass_cup.png', u'other'], [u'red_metal_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'green_glass_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'red_glass_cup.png', u'other'], [u'blue_glass_cup.png', u'target']]	glass	blue	1	filler
0	ball	[u'blue', u'striped', u'green', u'checkered']	[u'red', u'spotted']	8	[[u'green_checkered_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'red_checkered_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'red_spotted_ball.png', u'target'], [u'red_checkered_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'red_checkered_ball.png', u'other']]	spotted	red	0	second_informative
0	ball	[u'red', u'spotted', u'green', u'checkered']	[u'blue', u'striped']	9	[[u'blue_striped_ball.png', u'target'], [u'blue_checkered_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'blue_checkered_ball.png', u'other'], [u'green_checkered_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_checkered_ball.png', u'other']]	blue	striped	0	second_informative
0	cup	[u'green', u'wooden', u'blue', u'metal']	[u'red', u'plastic']	10	[[u'red_plastic_cup.png', u'target'], [u'green_plastic_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'blue_plastic_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'blue_plastic_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'blue_plastic_cup.png', u'other']]	red	plastic	0	first_informative
0	cup	[u'red', u'wooden', u'green', u'glass']	[u'blue', u'metal']	11	[[u'red_metal_cup.png', u'other'], [u'green_glass_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'blue_metal_cup.png', u'target'], [u'blue_glass_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'blue_glass_cup.png', u'other']]	blue	metal	0	second_informative
0	cup	[u'green', u'metal', u'red', u'wooden']	[u'blue', u'plastic']	12	[[u'red_wooden_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_plastic_cup.png', u'target']]	plastic	blue	1	second_informative
0	cup	[u'red', u'plastic', u'blue', u'glass']	[u'green', u'metal']	13	[[u'red_metal_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'green_metal_cup.png', u'target'], [u'blue_metal_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'red_glass_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'red_metal_cup.png', u'other'], [u'red_plastic_cup.png', u'other'], [u'blue_glass_cup.png', u'other']]	green	metal	0	filler
0	ball	[u'red', u'spotted', u'green', u'striped']	[u'blue', u'solid']	14	[[u'red_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_solid_ball.png', u'target'], [u'red_solid_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'red_spotted_ball.png', u'other'], [u'green_striped_ball.png', u'other']]	solid	blue	0	filler
0	cup	[u'blue', u'metal', u'green', u'wooden']	[u'red', u'glass']	15	[[u'red_glass_cup.png', u'target'], [u'red_metal_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'red_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'green_glass_cup.png', u'other'], [u'red_metal_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'blue_glass_cup.png', u'other']]	glass	red	1	filler
0	ball	[u'green', u'striped', u'blue', u'spotted']	[u'red', u'solid']	16	[[u'green_solid_ball.png', u'other'], [u'blue_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'red_solid_ball.png', u'target'], [u'green_solid_ball.png', u'other'], [u'blue_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'blue_solid_ball.png', u'other']]	red	solid	0.96	first_informative
